City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,puerto ayora,-0.7393,-90.3518,70.56,96,89,5.01,EC,1729453070
147,kenai,60.5544,-151.2583,32.14,79,0,3.44,US,1729453071
148,dunedin,-45.8742,170.5036,60.8,62,100,3.98,NZ,1729453072
149,winnemucca,40.973,-117.7357,57.25,33,0,3.44,US,1729453073
150,tahe,52.3333,124.7333,28.22,87,100,3.06,CN,1729453074
151,puerto baquerizo moreno,-0.9,-89.6,74.39,78,75,16.11,EC,1729453075
152,mount gambier,-37.8333,140.7667,45.66,92,79,4.9,AU,1729453076
153,port blair,11.6667,92.75,77.04,100,75,2.3,IN,1729453078
154,sinabang,2.4803,96.3801,78.42,82,71,0.29,ID,1729453079
155,codrington,-38.2667,141.9667,46.24,95,71,8.48,AU,1729453080
156,saint-pierre,-21.3393,55.4781,71.28,68,0,2.3,RE,1729453081
157,castillos,-34.1667,-53.8333,68.18,70,6,12.15,UY,1729453082
158,lebu,-37.6167,-73.65,55.9,88,88,15.9,CL,1729453083
159,egilsstadir,65.2653,-14.3948,40.91,87,75,9.22,IS,1729453084
160,fort mcmurray,56.7268,-111.381,35.19,80,100,3.44,CA,1729453086
161,hobyo,5.3505,48.5268,78.78,89,100,18.77,SO,1729453087
162,koblenz,50.35,7.6,59.81,88,100,5.01,DE,1729453088
163,le port,-20.9373,55.2919,73.36,74,12,3.65,RE,1729453089
164,tura,25.5198,90.2201,69.15,88,83,3.53,IN,1729453090
165,honolulu,21.3069,-157.8583,84.02,61,20,13.8,US,1729453046
166,kargasok,59.0556,80.8572,34.36,98,100,6.87,RU,1729453092
167,zhumysker,49.3333,49.4,49.33,82,100,6.58,KZ,1729453094
168,gamba,-2.65,10.0,76.86,84,100,7.58,GA,1729453095
169,bairnsdale,-37.8333,147.6167,47.05,96,86,2.93,AU,1729453096
170,pisco,-13.7,-76.2167,68.05,77,20,11.5,PE,1729453097
171,trinidad,-14.8333,-64.9,93.18,43,40,11.5,BO,1729452961
172,juli,-16.2167,-69.45,60.17,19,2,8.88,PE,1729453099
173,flying fish cove,-10.4217,105.6791,78.48,83,100,11.5,CX,1729453100
174,howrah,22.5892,88.3103,78.8,89,40,4.61,IN,1729453102
175,sinjai,-5.1241,120.253,73.63,68,100,4.07,ID,1729453103
176,xinpu,34.5997,119.1594,54.1,68,100,3.71,CN,1729453104
177,coquimbo,-29.9533,-71.3436,64.98,57,40,11.5,CL,1729453105
178,okha,53.5739,142.9478,32.86,58,95,19.91,RU,1729453106
179,remire-montjoly,4.9167,-52.2667,87.84,70,0,18.41,GF,1729453107
180,puerto maldonado,-12.6,-69.1833,86.4,62,75,4.61,PE,1729453109
181,ponta delgada,37.7333,-25.6667,65.19,72,20,10.36,PT,1729453110
182,acheng,45.5454,126.977,41.52,65,100,17.4,CN,1729453111
183,tual,-5.6667,132.75,82.42,78,77,12.3,ID,1729453112
184,aasiaat,68.7098,-52.8699,21.15,85,99,14.29,GL,1729453113
185,manado,1.487,124.8455,75.97,100,20,1.14,ID,1729453115
186,vorgashor,67.5833,63.95,32.88,98,100,12.66,RU,1729453116
187,nefta,33.8731,7.8777,68.25,50,4,7.49,TN,1729453117
188,aykhal,66.0,111.5,-7.51,100,100,3.53,RU,1729453118
189,fonte boa,-2.4959,-66.2662,91.22,53,81,5.35,BR,1729453119
190,hawaiian paradise park,19.5933,-154.9731,79.9,80,14,1.99,US,1729453120
191,happy valley-goose bay,53.3168,-60.3315,46.71,71,75,11.5,CA,1729453122
192,mitu,1.1983,-70.1733,87.48,63,100,1.1,CO,1729453123
193,olean,42.0776,-78.4297,66.54,32,0,5.75,US,1729452871
194,soto la marina,23.7667,-98.2167,81.95,77,100,7.43,MX,1729453125
195,as sulayyil,20.4607,45.5779,86.07,26,81,11.23,SA,1729453126
196,port hedland,-20.3167,118.5667,71.65,94,1,8.05,AU,1729453127
197,dacice,49.0815,15.4373,48.06,80,100,7.52,CZ,1729453128
198,santiago de cao,-7.9589,-79.2392,68.13,77,99,10.36,PE,1729453130
199,kruisfontein,-34.0033,24.7314,53.4,91,10,5.88,ZA,1729453131
200,preobrazheniye,42.9019,133.9064,39.51,54,100,7.29,RU,1729453132
201,mwene-ditu,-7.0,23.45,67.59,86,100,4.09,CD,1729453133
202,kuacjok,8.3002,27.9903,73.53,90,100,5.79,SS,1729453134
